!
!Date: 04/23/2019
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene	Gene Systematic Name	Qualifier	Gene Ontology Term ID	Gene Ontology Term	Aspect	Annotation Extension	Evidence	Method	Source	Assigned On	Reference
FAP7	YDL166C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
MRPL11	YDL202W	ribosome biogenesis	GO:0042254		biological process	IEA with IPR001790	computational	InterPro	2019-04-20		DDB, et al. (2001)
NHP2	YDL208W	ribosome biogenesis	GO:0042254		biological process	IEA with IPR004037	computational	InterPro	2019-04-20		DDB, et al. (2001)
NHP2	YDL208W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
NOP6	YDL213C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
FAL1	YDR021W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
MAK21	YDR060W	ribosome biogenesis	GO:0042254		biological process	IEA with IPR040155	computational	InterPro	2019-04-20		DDB, et al. (2001)
MAK21	YDR060W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RLI1	YDR091C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPA14	YDR156W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
ACL4	YDR161W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
SSF2	YDR312W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
UTP4	YDR324C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
FCF1	YDR339C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
ESF1	YDR365C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
UTP5	YDR398W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RRP17	YDR412W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
NPL3	YDR432W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
UTP6	YDR449C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
SNU13	YEL026W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
SNU13	YEL026W	ribosome biogenesis	GO:0042254		biological process	IEA with IPR004037	computational	InterPro	2019-04-20		DDB, et al. (2001)
NOP16	YER002W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
NUG1	YER006W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPL34A	YER056C-A	ribosome biogenesis	GO:0042254		biological process	IBA with PTN000079601	computational	GO_Central	2017-02-28		Gaudet P, et al. (2011) PMID:21873635
RPL34A	YER056C-A	ribosome biogenesis	GO:0042254		biological process	IBA with RPL34A	computational	GO_Central	2017-02-28		Gaudet P, et al. (2011) PMID:21873635
UTP7	YER082C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
NSA2	YER126C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
LCP5	YER127W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
SPB4	YFL002C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
LOC1	YFR001W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
CGR1	YGL029W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
DBP3	YGL078C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
NSA1	YGL111W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPS2	YGL123W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
ROK1	YGL171W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
SLX9	YGR081C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
UTP22	YGR090W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
NOP7	YGR103W	ribosome biogenesis	GO:0042254		biological process	IEA with IPR010613	computational	InterPro	2019-04-20		DDB, et al. (2001)
NOP7	YGR103W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
UTP8	YGR128C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
ENP2	YGR145W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPS0A	YGR214W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
SDA1	YGR245C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
NOP19	YGR251W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RNH70	YGR276C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
PXR1	YGR280C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPL8A	YHL033C	ribosome biogenesis	GO:0042254		biological process	IEA with IPR004037	computational	InterPro	2019-04-20		DDB, et al. (2001)
BCD1	YHR040W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
CIC1	YHR052W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RRP3	YHR065C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
SSF1	YHR066W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
NOP10	YHR072W-A	ribosome biogenesis	GO:0042254		biological process	IEA with IPR007264	computational	InterPro	2019-04-20		DDB, et al. (2001)
NOP10	YHR072W-A	ribosome biogenesis	GO:0042254		biological process	IEA with IPR036756	computational	InterPro	2019-04-20		DDB, et al. (2001)
NOP10	YHR072W-A	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
IPI1	YHR085W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RTC3	YHR087W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPF1	YHR088W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
GAR1	YHR089C	ribosome biogenesis	GO:0042254		biological process	IEA with IPR007504	computational	InterPro	2019-04-20		DDB, et al. (2001)
GAR1	YHR089C	ribosome biogenesis	GO:0042254		biological process	IEA with IPR021154	computational	InterPro	2019-04-20		DDB, et al. (2001)
GAR1	YHR089C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPC10	YHR143W-A	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
IMP3	YHR148W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
DBP8	YHR169W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
UTP9	YHR196W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RIX1	YHR197W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
FAF1	YIL019W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPL34B	YIL052C	ribosome biogenesis	GO:0042254		biological process	IBA with PTN000079601	computational	GO_Central	2017-02-28		Gaudet P, et al. (2011) PMID:21873635
RPL34B	YIL052C	ribosome biogenesis	GO:0042254		biological process	IBA with RPL34A	computational	GO_Central	2017-02-28		Gaudet P, et al. (2011) PMID:21873635
UTP25	YIL091C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
TMA108	YIL137C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
NOP9	YJL010C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
HCA4	YJL033W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
UTP18	YJL069C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
UTP10	YJL109C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
ALB1	YJL122W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPA34	YJL148W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPS14B	YJL191W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
MPP10	YJR002W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
URB2	YJR041C	ribosome biogenesis	GO:0042254		biological process	IBA with PTN001437627	computational	GO_Central	2017-02-28		Gaudet P, et al. (2011) PMID:21873635
URB2	YJR041C	ribosome biogenesis	GO:0042254		biological process	IBA with URB2	computational	GO_Central	2017-02-28		Gaudet P, et al. (2011) PMID:21873635
URB2	YJR041C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPA12	YJR063W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
MRT4	YKL009W	ribosome biogenesis	GO:0042254		biological process	IEA with IPR001790	computational	InterPro	2019-04-20		DDB, et al. (2001)
MRT4	YKL009W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
URB1	YKL014C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
MAK11	YKL021C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RRP14	YKL082C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
UTP11	YKL099C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
EBP2	YKL172W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
CBT1	YKL208W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
DBP7	YKR024C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
SHB17	YKR043C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
UTP30	YKR060W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
DRS1	YLL008W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
SOF1	YLL011W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RIX7	YLL034C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RIX7	YLL034C	ribosome biogenesis	GO:0042254		biological process	IBA with PTN000554586	computational	GO_Central	2017-11-03		Gaudet P, et al. (2011) PMID:21873635
RIX7	YLL034C	ribosome biogenesis	GO:0042254		biological process	IBA with O15381	computational	GO_Central	2017-11-03		Gaudet P, et al. (2011) PMID:21873635
RPL8B	YLL045C	ribosome biogenesis	GO:0042254		biological process	IEA with IPR004037	computational	InterPro	2019-04-20		DDB, et al. (2001)
NOC3	YLR002C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RLP24	YLR009W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
SDO1	YLR022C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
SDO1	YLR022C	ribosome biogenesis	GO:0042254		biological process	IEA with IPR018978	computational	InterPro	2019-04-20		DDB, et al. (2001)
RPS0B	YLR048W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
FCF2	YLR051C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
DIP2	YLR129W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
CBF5	YLR175W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
EMG1	YLR186W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
NOP56	YLR197W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RSA3	YLR221C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
UTP13	YLR222C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
DBP9	YLR276C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPP0	YLR340W	ribosome biogenesis	GO:0042254		biological process	IEA with IPR001790	computational	InterPro	2019-04-20		DDB, et al. (2001)
RPP0	YLR340W	ribosome biogenesis	GO:0042254		biological process	IEA with IPR030670	computational	InterPro	2019-04-20		DDB, et al. (2001)
REH1	YLR387C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
AFG2	YLR397C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
UTP21	YLR409C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
UTP14	YML093W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
ERB1	YMR049C	ribosome biogenesis	GO:0042254		biological process	IEA with IPR028598	computational	InterPro	2019-04-20		DDB, et al. (2001)
ERB1	YMR049C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
UTP15	YMR093W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
ECM16	YMR128W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RRB1	YMR131C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RRP5	YMR229C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
TMA23	YMR269W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
HAS1	YMR290C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RLP7	YNL002C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
NOP2	YNL061W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
IMP4	YNL075W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPS7B	YNL096C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
NOP15	YNL110C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
DBP2	YNL112W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPC19	YNL113W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
NAF1	YNL124W	ribosome biogenesis	GO:0042254		biological process	IEA with IPR007504	computational	InterPro	2019-04-20		DDB, et al. (2001)
NAF1	YNL124W	ribosome biogenesis	GO:0042254		biological process	IEA with IPR040309	computational	InterPro	2019-04-20		DDB, et al. (2001)
NAF1	YNL124W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
NAF1	YNL124W	ribosome biogenesis	GO:0042254		biological process	IBA with PTN001269939	computational	GO_Central	2018-10-25		Gaudet P, et al. (2011) PMID:21873635
NAF1	YNL124W	ribosome biogenesis	GO:0042254		biological process	IBA with Q96HR8	computational	GO_Central	2018-10-25		Gaudet P, et al. (2011) PMID:21873635
RIA1	YNL163C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
IPI3	YNL182C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RIO2	YNL207W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPA49	YNL248C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPS19B	YNL302C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
KRI1	YNL308C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
DBP6	YNR038W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
NOG2	YNR053C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
ESF2	YNR054C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RCL1	YOL010W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RCL1	YOL010W	ribosome biogenesis	GO:0042254		biological process	IEA with IPR016443	computational	InterPro	2019-04-20		DDB, et al. (2001)
RPS15	YOL040C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
NOP12	YOL041C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
BRX1	YOL077C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPS19A	YOL121C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
NOP8	YOL144W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
UTP23	YOR004W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
TSR3	YOR006C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
NOB1	YOR056C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
BUD21	YOR078W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPS7A	YOR096W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RIO1	YOR119C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
PNO1	YOR145C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
NOC2	YOR206W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPB10	YOR210W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPB8	YOR224C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
PUS7	YOR243C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
YTM1	YOR272W	ribosome biogenesis	GO:0042254		biological process	IEA with IPR028599	computational	InterPro	2019-04-20		DDB, et al. (2001)
YTM1	YOR272W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RRP36	YOR287C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RRS1	YOR294W	ribosome biogenesis	GO:0042254		biological process	IEA with IPR007023	computational	InterPro	2019-04-20		DDB, et al. (2001)
RRS1	YOR294W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
NOP58	YOR310C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
